name,text
クラレンドル・ルージュ,クラレンドル・ルージュは、ボルドー、メドック格付第一級、シャトー・オー・ブリオンの醸造チームが手掛けるワイン。オー・ブリオンのブドウを含むボルドー全域からクオリティの高いブドウを厳選して仕立てられるという何とも贅沢な造りの1本です。 ボルドーワインならではの重厚さと気品をぜひご堪能ください。
シャトー・ジレ・ルージュ,伝統的な手法でワインを造る老舗シャトーが手掛ける赤ワイン。黒系果実のふくよかな果実味と程良いタンニンを兼ね備えた、お手本のようなボルドー・ルージュです。しっかりとした芳醇な味わいは、ビーフシチューやトマト煮込みなどの料理と好相性。ぜひ食事と一緒にお楽しみください。
ピーツ・ピュア・ピノ・ノワール,南オーストラリア随一の農業産地マレー・ダーリング南部に位置し、すべて自社畑栽培のブドウを使用し醸造も行うピーツ・ピュア。サステナブル農法を実践する他、再生可能エネルギーの利用によるCO2削減にも取り組んでいるワイナリーです。こちらはピノ・ノワール主体で造られる赤ワイン。チャーミングな果実味と豊満な酸味が調和した、優美な味わいです。
モンテス・クラシック・シリーズ・カベルネ・ソーヴィニヨン,チリを代表するワイナリー、モンテスの最もスタンダードなシリーズ。ブドウはすべて手摘みで行い、フレンチオークでの熟成など、こだわりを持って造られています。上品なタンニンと優れたバランスを感じる味わい。癖がなく飲みやすいため、毎日の料理を引き立ててくれる1本です。
ドメーヌ・ド・ヴィルマジュー・コルビエール・ブートナック,ジェラール・ベルトランは、『ワイン・エンスージアスト』において、ヨーロッパのワイナリー・オブ・ザ・イヤーを受賞した名門。ヴィルマジューは、南仏の代表的なブドウ品種カリニャン、シラー、グルナッシュルの3品種をブレンドして造られる彼らの代表キュヴェです。バランスが良く、世界で高い評価を受けるコストパフォーマンス抜群の赤ワインです。
ブリッコ・エルネスト ヴィーノ・ロッソ,"こちらは若き生産者がオーガニック栽培で大切に育てたブドウで造る、毎回入荷の度に即完売となる人気銘柄です。年産約3,000本の稀少なワインで、エノテカのバイヤーがイタリア・ピエモンテの地にワインの買い付けに行った際、現地レストランで惚れ込み、買い付けを即決しました。エレガントかつじんわりと果実の旨味が感じられる味わいが魅力で、バローロ、バルバレスコ好きのみならずブルゴーニュ好きにもおすすめしたい、ピエモンテワインの懐の深さを感じる1本です。"
シャトー・モン・ペラ・ルージュ,人気ワイン漫画『神の雫』に登場したことがきっかけとなり大ヒットとなったシャトー。こちらは、Mr.メルロと称される天才醸造家ミッシェル・ロラン氏が手掛ける赤ワインです。パワフルでありながらも、飲み心地はスムースでクリーミー。肉の煮込み料理や卵料理、鰻の蒲焼きなど、深みと丸みのある料理と好相性で、日々の食卓を彩ります。
ピーツ・ピュア・シラーズ,南オーストラリア随一の農業産地マレー・ダーリング南部に位置し、すべて自社畑栽培のブドウを使用し醸造も行うピーツ・ピュア。サステナブル農法を実践する他、再生可能エネルギーの利用によるCO2削減にも取り組んでいるワイナリーです。こちらはシラーズを中心に複数のブドウで造る赤ワイン。甘やかな果実味と柔らかなタンニンが特徴の濃密なスタイルです。
ムートン・カデ・キュヴェ・ヘリテージ・ルージュ,メドック格付け第一級シャトーを所有するバロン・フィリップ・ド・ロスチャイルドが、本拠地ボルドーで手掛けるカジュアルワイン、ムートン・カデ。こちらは、1930年にメドック格付け第一級シャトー・ムートン・ロスチャイルドのブドウが不作となり、リリースできなかった年に生まれたという誕生秘話を持つ、ムートン直系のワインです。甘美で飽きのこない柔らかな飲み心地と木樽由来の風味による格調高い味わいが魅力です。
ピーツ・ピュア・カベルネ・ソーヴィニヨン,南オーストラリア随一の農業産地マレー・ダーリング南部に位置し、すべて自社畑栽培のブドウを使用し醸造も行うピーツ・ピュア。サステナブル農法を実践する他、再生可能エネルギーの利用によるCO2削減にも取り組んでいるワイナリーです。こちらはカベルネ・ソーヴィニヨンを中心に複数のブドウで造る赤ワイン。ピュアな果実のアロマと豊満なタンニンが特徴の1本です。
モンテス・アルファ・カベルネ・ソーヴィニヨン,モンテスは、チリワインの可能性と最高品質を追求し、世界のワインラヴァーに愛されるワイン造りを目指してスタートしたワイナリー。今やチリ最高峰ワイナリーとしての地位を確立しています。アルファ・シリーズは、彼らのフラッグシップ・ワイン。上質なカベルネ・ソーヴィニヨンを用いて造られる、エレガントな仕上がりの1本です。
トーディ・ロッソ,イタリア中部、ウンブリア州最大規模を誇り、常に安定した品質のワインを生み出すワイナリー。こちらはサンジョヴェーゼとメルロをブレンドし、柔らかい飲み口が魅力で、重すぎず飲み疲れしないスタイルの赤ワインです。トマトソースとの相性が抜群で少しクセのあるチーズとも良く合います。
ネプリカ・プリミティーヴォ,トルマレスカは、アンティノリ社が「エレガントでトップクオリティのワインを造り出す」という信念の元に立ち上げたワイナリー。ネプリカは、プーリア州の魅力を気軽に楽しめるシリーズ。こちらは甘みを感じる果実味と豊かな酸味が特徴のプリミティーヴォで仕立てる、パワフルかつフルーティーな親しみやすい1本です。
ラ・モット・ミレニアム,17世紀より歴史を持つ、南アフリカの名門ワイナリー。こちらはフランスのボルドースタイルを意識した赤ワイン。銘醸地のさまざまな特徴をもつ畑からとれたブドウを組み合わせて造られます。そのため、ブレンドによる複雑な香り、濃厚な果実味を堪能いただける逸品です。
